id,title,slug,format,category,topicTags,contributors,url,canonicalUrl,externalUrl,publishedOn,publishedTs,ageDays,freshnessBucket,imageUrl,thumbnailUrl,headerImageUrl,summary,sourceCsv,sourceCollectionId
webinar:introduction-to-immersive-one-in-under-30-minutes,Introduction to Immersive One (In Under 30 Minutes),introduction-to-immersive-one-in-under-30-minutes,webinar,cyber-resilience,,,https://info.immersivelabs.com/webinar-introduction-to-immersive-one-in-under-30-minutes,https://www.immersivelabs.com/resources/webinars/introduction-to-immersive-one-in-under-30-minutes/,https://info.immersivelabs.com/webinar-introduction-to-immersive-one-in-under-30-minutes,2026-02-26T00:00:00.000Z,1772064000000,0,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698c8e7070f85e178a8fa9fd_Intro%20to%20Immersive%20One%20-%20LP%20Image%20(2)%202.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698c8e7070f85e178a8fa9fd_Intro%20to%20Immersive%20One%20-%20LP%20Image%20(2)%202.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698c8e6c3507a8e146120e44_Intro%20to%20Immersive%20One%20-%20LP%20Image%20(2)%201.png,"Ready to bridge the gap between perceived and proven cyber readiness? In this 30-minute webinar, Martin Hewitt, Principal Product Manager for Immersive One, will demonstrate how our unified AI-powered platform delivers the connective tissue between people, processes, and tools. Learn how you can join the ranks of industry leaders like Citigroup, Siemens, and",Immersive - Webinars - 679f9c1ff10020ae69399e53.csv,679f9c1ff10020ae69399e53
c7-blog:the-hidden-attack-surface-in-your-dependencies,The Hidden Attack Surface in Your Dependencies,the-hidden-attack-surface-in-your-dependencies,c7-blog,threat-intelligence,,chris-wood,https://www.immersivelabs.com/resources/c7-blog/the-hidden-attack-surface-in-your-dependencies/,https://www.immersivelabs.com/resources/c7-blog/the-hidden-attack-surface-in-your-dependencies/,,2026-02-20T00:00:00.000Z,1771545600000,2,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69984cf2667bcb1013434f4f_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69984cf2667bcb1013434f4f_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69984cee331837798f2e7d4e_Header.png,"Exploring the hidden attack surface in dependencies, and looking into the steps teams should take to reduce supply chain risk.",Immersive - C7 Blogs - 6911bd569ce807ce6a2b9b4c.csv,6911bd569ce807ce6a2b9b4c
c7-blog:openclaw-what-you-need-to-know-before-it-claws-its-way-into-your-organization,OpenClaw: What You Need to Know Before It Claws Its Way Into Your Organization,openclaw-what-you-need-to-know-before-it-claws-its-way-into-your-organization,c7-blog,threat-intelligence,emerging-threats|vulnerability-management|malware,kevin-breen,https://www.immersivelabs.com/resources/c7-blog/openclaw-what-you-need-to-know-before-it-claws-its-way-into-your-organization/,https://www.immersivelabs.com/resources/c7-blog/openclaw-what-you-need-to-know-before-it-claws-its-way-into-your-organization/,,2026-02-19T00:00:00.000Z,1771459200000,3,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/699718ca4c00b28dab8e54de_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/699718ca4c00b28dab8e54de_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/699718e83445a563da60516c_header.png,"A deep dive into OpenClaw: Explore the CVE-2026-25253 vulnerability, ClawHub supply chain attacks, and essential security tips for users.",Immersive - C7 Blogs - 6911bd569ce807ce6a2b9b4c.csv,6911bd569ce807ce6a2b9b4c
ebook:crisis-management-framework,Crisis Exercising Framework,crisis-management-framework,ebook,crisis-exercising-framework,,,https://info.immersivelabs.com/hubfs/Crisis%20Exercising%20Framework/Crisis%20Exercising%20Framework%20-%20Full%20Documents.pdf,https://www.immersivelabs.com/resources/ebook/crisis-management-framework/,https://info.immersivelabs.com/hubfs/Crisis%20Exercising%20Framework/Crisis%20Exercising%20Framework%20-%20Full%20Documents.pdf,2026-02-13T00:00:00.000Z,1770940800000,9,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698f0a00523abacb44a2f9ed_Crisis%20Exercising%20Framework%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698f0a00523abacb44a2f9ed_Crisis%20Exercising%20Framework%20-%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698f0a043dfe7c4fa299db82_Crisis%20Exercising%20Framework%20-%20Header.png,Crisis Management Framework,Immersive - Ebooks - 67a1e0fc2122bab24a53d0e2.csv,67a1e0fc2122bab24a53d0e2
webinar:the-heartbolt-heist-love-lies-and-leaks-virtual-crisis-sim,"The Heartbolt Heist: Love, Lies, and Leaks (Virtual Crisis Sim)",the-heartbolt-heist-love-lies-and-leaks-virtual-crisis-sim,webinar,virtual-crisis-sim,incident-response|social-engineering|stakeholder-management|business-continuity,clem-craven,https://info.immersivelabs.com/recording-crisis-sim-the-heartbolt-heist-love-lies-and-leaks,https://www.immersivelabs.com/resources/webinars/the-heartbolt-heist-love-lies-and-leaks-virtual-crisis-sim/,https://info.immersivelabs.com/recording-crisis-sim-the-heartbolt-heist-love-lies-and-leaks,2026-02-13T00:00:00.000Z,1770940800000,9,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6981c7419e624d591775531d_Valentines%20Virtual%20Crisis%20Sim%20-%20Thumbnail%20-%20560x315.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6981c7419e624d591775531d_Valentines%20Virtual%20Crisis%20Sim%20-%20Thumbnail%20-%20560x315.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6981c744e12118268b6a9456_Valentines%20Virtual%20Crisis%20Sim%20-%20Header%20-%201920x1080.png,"Join Clem Craven in this virtual crisis simulation where a compromised executive and a dark-web leak of Breakup Prediction data force high-stakes decisions. Build capability in stakeholder management, social engineering awareness, and incident response trade-offs between threat isolation and business continuity.",Immersive - Webinars - 679f9c1ff10020ae69399e53.csv,679f9c1ff10020ae69399e53
c7-blog:alert-your-security-stack-is-only-as-strong-as-the-people-operating-it,Alert: Your Security Stack is Only As Strong as the People Operating It,alert-your-security-stack-is-only-as-strong-as-the-people-operating-it,c7-blog,labs-and-exercises,,dave-spencer,https://www.immersivelabs.com/resources/c7-blog/alert-your-security-stack-is-only-as-strong-as-the-people-operating-it/,https://www.immersivelabs.com/resources/c7-blog/alert-your-security-stack-is-only-as-strong-as-the-people-operating-it/,,2026-02-11T00:00:00.000Z,1770768000000,11,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698db6b52ddbffce8b2e7c89_Orchid%20Fusion_%20APT33%20%E2%80%94%20Thumbnail%20Image%20%E2%80%94%C2%A0.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698db6b52ddbffce8b2e7c89_Orchid%20Fusion_%20APT33%20%E2%80%94%20Thumbnail%20Image%20%E2%80%94%C2%A0.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698db6b138326ecad57716e7_Orchid%20Fusion_%20APT33%20%E2%80%94%20Header%20Image%20%E2%80%94%C2%A01280x720.png,Use our Dynamic Threat Range to validate your SOC team's performance against APT33’s latest cloud-first TTPs and identify detection gaps using your own SIEM.,678a13476d0a697e355dec29-691c8c70de6fc418c5b5260a-2026-02-21T07-29-44-892Z.csv,691c8c70de6fc418c5b5260a
c7-blog:patch-tuesday-february-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild,Patch Tuesday February 2026 - Critical Microsoft Security Patches Released Including Vulnerabilities Being Actively Exploited in the Wild,patch-tuesday-february-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild,c7-blog,threat-intelligence,cyber-resilience,kevin-breen|natalie-silva,https://www.immersivelabs.com/resources/c7-blog/patch-tuesday-february-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild/,https://www.immersivelabs.com/resources/c7-blog/patch-tuesday-february-2026---critical-microsoft-security-patches-released-including-vulnerabilities-being-actively-exploited-in-the-wild/,,2026-02-10T00:00:00.000Z,1770681600000,12,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698c381be205ee1445b0e65b_PatchNewsday_Image1_Thumbnail.avif,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698c381be205ee1445b0e65b_PatchNewsday_Image1_Thumbnail.avif,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/698c387d2b78df61f29bc3b3_PatchNewsday_Image1_Header.avif,Critical Microsoft Security Patches Released Including Vulnerabilities Being Actively Exploited in the Wild,Immersive - C7 Blogs - 6911bd569ce807ce6a2b9b4c.csv,6911bd569ce807ce6a2b9b4c
c7-blog:your-soc-is-under-fire-prepare-your-team-to-filter-the-noise-and-focus-now-using-dynamic-ai-feed,"Your SOC is Under Fire: Prepare Your Team to Filter the Noise and Focus, Now Using Dynamic AI Feed",your-soc-is-under-fire-prepare-your-team-to-filter-the-noise-and-focus-now-using-dynamic-ai-feed,c7-blog,platform-release,,matt-parven,https://www.immersivelabs.com/resources/c7-blog/your-soc-is-under-fire-prepare-your-team-to-filter-the-noise-and-focus-now-using-dynamic-ai-feed/,https://www.immersivelabs.com/resources/c7-blog/your-soc-is-under-fire-prepare-your-team-to-filter-the-noise-and-focus-now-using-dynamic-ai-feed/,,2026-02-05T00:00:00.000Z,1770249600000,17,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6984c98c27cea1ded480b952_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6984c98c27cea1ded480b952_Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6984c99162fdeff1ac6eca50_LP.png,Is your SOC ready for a real-world crisis? Immersive One’s Dynamic AI Feed simulates the sensory overload of a real attack to harden your team's response under fire.,678a13476d0a697e355dec29-691c8c70de6fc418c5b5260a-2026-02-21T07-29-44-892Z.csv,691c8c70de6fc418c5b5260a
c7-blog:govern-google-gemini-cli-adoption-without-sacrificing-engineering-speed,Govern Google Gemini CLI Adoption without Sacrificing Engineering Speed,govern-google-gemini-cli-adoption-without-sacrificing-engineering-speed,c7-blog,labs-and-exercises,,robert-klentzeris,https://www.immersivelabs.com/resources/c7-blog/govern-google-gemini-cli-adoption-without-sacrificing-engineering-speed/,https://www.immersivelabs.com/resources/c7-blog/govern-google-gemini-cli-adoption-without-sacrificing-engineering-speed/,,2026-02-03T00:00:00.000Z,1770076800000,19,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6986084e7b09111ccba570f2_Whats%20New%20-%20Latest%20Labs%20and%20Exercises%20-%20Thumbnail%20Image.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6986084e7b09111ccba570f2_Whats%20New%20-%20Latest%20Labs%20and%20Exercises%20-%20Thumbnail%20Image.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69860846c073500bc2e98ee2_Whats%20New%20-%20Latest%20Labs%20and%20Exercises%20-%20Header%20Image.png,"Enable secure AI adoption among your developers. Greenlight Gemini CLI use for your org with verifiable governance, ensuring engineering velocity while your SDLC stays secure and compliant.",678a13476d0a697e355dec29-691c8c70de6fc418c5b5260a-2026-02-21T07-29-44-892Z.csv,691c8c70de6fc418c5b5260a
c7-blog:make-zero-trust-stick-with-crowdstrike-put-your-analysts-hands-on-in-immersive-one,Make Zero Trust Stick with CrowdStrike: Put Your Analysts Hands-On in Immersive One,make-zero-trust-stick-with-crowdstrike-put-your-analysts-hands-on-in-immersive-one,c7-blog,labs-and-exercises,,ben-mccarthy,https://www.immersivelabs.com/resources/c7-blog/make-zero-trust-stick-with-crowdstrike-put-your-analysts-hands-on-in-immersive-one/,https://www.immersivelabs.com/resources/c7-blog/make-zero-trust-stick-with-crowdstrike-put-your-analysts-hands-on-in-immersive-one/,,2026-01-27T00:00:00.000Z,1769472000000,26,<1y,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69789c259fceb8e221a28d69_Lab%20%26%20Exercises%20%E2%80%94%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69789c259fceb8e221a28d69_Lab%20%26%20Exercises%20%E2%80%94%20Thumbnail.png,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69789c29915d9057c4de63d1_Lab%20%26%20Exercises%20%E2%80%94%20Header%20Image.png,Extend Zero Trust to your analysts. Use Immersive One to launch hands-on simulations directly in CrowdStrike Falcon® and prove your team is breach-ready.,678a13476d0a697e355dec29-691c8c70de6fc418c5b5260a-2026-02-21T07-29-44-892Z.csv,691c8c70de6fc418c5b5260a
