row_id,row_type,layer_order,title,description,question_keys,option_ids,pain_ids,outcome_ids,capability_ids,pibr_track,content_tags,enabled
pain_decision_speed,pain,1,Decision speed under pressure,"Incident decisions and cross-team coordination are too slow when pressure spikes.","pressureSources|urgentWin|riskEnvs|measuredOn|orgPain","board|regulator|insurer|fasterDecisions|socir|mttd|coordination","",fasterResponse|complianceEvidence,cyber-drills|crisis-sim|dynamic-threat-range|benchmark-reporting,Prove,incident-response|crisis|board-reporting,true
pain_evidence_gap,pain,1,Evidence confidence gap,"Security activity exists but evidence is not yet board-ready or audit-defensible.","pressureSources|urgentWin|measuredOn|orgPain|regs","board|regulator|insurer|boardEvidence|audit|notMeasured|externalProof","",complianceEvidence|fasterResponse,benchmark-reporting|programs|integrated-readiness,"Benchmark & Report",audit|benchmark|governance,true
pain_attack_surface,pain,1,Attack surface and remediation drag,"Code, cloud, and identity risk closes too slowly and creates avoidable exposure.","urgentWin|riskEnvs|groups|stack","attackSurface|code|cloud|identity|enterpriseApps|appsec|cloud|identity|github","",secureEnterprise,appsec-range-exercises|hands-on-labs|integrated-readiness,Improve,appsec|cloud|identity|devsecops,true
pain_workforce_readiness,pain,1,Workforce readiness visibility,"Role readiness is inconsistent and progression is hard to prove across teams.","urgentWin|orgPain|measuredOn|groups|stack","workforce|skillsCoverage|training|workforce|workday|successfactors|cornerstone|msteams","",cyberWorkforce|complianceEvidence,workforce-exercising|hands-on-labs|programs|integrated-readiness,Improve,workforce|lms|readiness,true
pain_ai_risk,pain,1,AI adoption risk and uncertainty,"AI use is moving faster than governance, controls, and practical testing.","urgentWin|orgPain|riskEnvs|stack|regs","safeAI|aiRisk|code|cloud|ai|euaiact|iso42001|nistairmf","",secureAI|secureEnterprise,secure-ai-readiness|hands-on-labs|benchmark-reporting,Improve,secure-ai|governance|controls,true
pain_third_party,pain,1,Third-party and supply-chain exposure,"Vendor dependency and partner risk create uncertainty in detection and containment.","urgentWin|orgPain|pressureSources|groups|regs","thirdParty|vendorRisk|customers|third|nist800161|dfars7012|cmmc","",supplyChain|complianceEvidence,cyber-drills|benchmark-reporting|programs,Prove,supply-chain|vendor-risk|resilience,true
outcome_fasterResponse,outcome,2,"Prove faster detection, response, and decision-making","Cut MTTD/MTTR and improve response quality in realistic pressure scenarios.",,,pain_decision_speed|pain_evidence_gap|pain_third_party,fasterResponse,cyber-drills|crisis-sim|dynamic-threat-range,Prove,mttd|mttr|incident-response,true
outcome_secureEnterprise,outcome,2,Secure the modern enterprise,"Reduce exploitable risk across code, cloud, identity, and operational workflows.",,,pain_attack_surface|pain_ai_risk,secureEnterprise,hands-on-labs|appsec-range-exercises|integrated-readiness,Improve,appsec|cloud|identity,true
outcome_secureAI,outcome,2,Enable secure AI adoption and governance,"Adopt AI with tested controls, measurable readiness, and accountable governance.",,,pain_ai_risk,secureAI,secure-ai-readiness|hands-on-labs|benchmark-reporting,Improve,ai-governance|prompt-injection,true
outcome_complianceEvidence,outcome,2,Transform compliance into evidence and benchmarks,"Translate readiness into auditable proof mapped to board and regulatory expectations.",,,pain_evidence_gap|pain_decision_speed|pain_third_party,complianceEvidence,benchmark-reporting|integrated-readiness|programs,"Benchmark & Report",evidence|benchmark|audit,true
